time, palm_pos, vel, avg_vel, avg_vel_schm, avg_acc, avg_acc_schm
1542730327.202643, 170.707718, -222.160324, 138.502079, 138.502079, -841.313296, -841.313296
1542730327.208578, 170.707718, -222.160324, 129.310485, 129.310485, -919.159455, -919.159455
1542730327.214405, 170.707718, -222.160324, 119.619365, 119.619365, -969.111923, -969.111923
1542730327.219805, 163.920868, -294.721771, 109.293705, 109.293705, -1032.566006, -1032.566006
1542730327.225636, 163.920868, -294.721771, 98.594430, 98.594430, -1069.927527, -1069.927527
1542730327.231458, 163.920868, -294.721771, 87.256625, 87.256625, -1133.780515, -1133.780515
1542730327.237082, 157.150391, -332.967712, 75.514282, 75.514282, -1174.234346, -1174.234346
1542730327.242478, 157.150391, -332.967712, 63.276988, 63.276988, -1223.729334, -1223.729334
1542730327.247789, 157.150391, -332.967712, 50.768542, 50.768542, -1250.844591, -1250.844591
1542730327.253489, 157.150391, -332.967712, 37.999924, 37.999924, -1276.861858, -1276.861858
1542730327.258977, 149.090912, -386.520172, 24.837343, 24.837343, -1316.258096, -1316.258096
1542730327.264226, 149.090912, -386.520172, 11.368381, 20.000000, -1346.896171, -1346.896171
1542730327.269988, 149.090912, -386.520172, -2.338114, -20.000000, -1370.649544, -1370.649544
1542730327.276186, 145.345261, -301.246155, -16.041451, -20.000000, -1370.333614, -1370.333614
1542730327.281458, 145.345261, -301.246155, -29.953730, -29.953730, -1391.227975, -1391.227975
1542730327.286892, 145.345261, -301.246155, -44.042823, -44.042823, -1408.909288, -1408.909288
1542730327.292232, 142.610367, -230.026413, -58.073127, -58.073127, -1403.030420, -1403.030420
1542730327.297890, 142.610367, -230.026413, -72.189376, -72.189376, -1411.624864, -1411.624864
1542730327.303289, 142.610367, -230.026413, -86.274337, -86.274337, -1408.496061, -1408.496061
1542730327.309135, 142.610367, -230.026413, -100.310772, -100.310772, -1403.643496, -1403.643496
1542730327.314390, 139.408249, -196.685486, -114.136192, -114.136192, -1382.542048, -1382.542048
1542730327.320577, 139.408249, -196.685486, -127.641353, -127.641353, -1350.516090, -1350.516090
1542730327.326509, 136.506561, -186.875900, -140.833388, -140.833388, -1319.203507, -1319.203507
1542730327.331770, 136.506561, -186.875900, -153.653546, -153.653546, -1282.015828, -1282.015828
1542730327.337335, 136.506561, -186.875900, -166.019719, -166.019719, -1236.617311, -1236.617311
1542730327.342637, 134.119675, -160.974472, -177.637295, -177.637295, -1161.757574, -1161.757574
1542730327.348014, 134.119675, -160.974472, -188.634500, -188.634500, -1099.720479, -1099.720479
1542730327.353831, 134.119675, -160.974472, -198.798758, -198.798758, -1016.425827, -1016.425827
