time, a_x, a_y, a_z, g_x, g_y, g_z, deltat 
1574112033, 53, 24, 1792, -7, -59, -65, 0.013651
1574112033, 43, 33, 1729, -22, -46, -78, 0.013456
1574112033, 11, 15, 1817, -34, -76, -88, 0.013445
1574112033, 3, 4, 1785, -66, -116, -88, 0.013419
1574112033, 13, -26, 1792, -44, -96, -81, 0.013436
1574112033, 39, 13, 1771, -18, -78, -71, 0.013415
1574112033, 37, 26, 1816, 11, -81, -59, 0.013436
1574112033, 35, 19, 1815, -18, -84, -46, 0.013452
1574112033, 36, 5, 1825, -20, -77, -37, 0.013666
1574112033, 48, 10, 1862, -15, -131, -40, 0.013491
1574112033, 61, 60, 1769, 10, -56, -10, 0.013487
1574112033, 38, 28, 1825, -37, -26, 2, 0.013425
1574112033, 29, 20, 1824, -58, -94, -21, 0.013439
1574112033, 51, 51, 1764, 6, -78, -22, 0.013415
1574112033, 43, 45, 1814, 35, -61, -14, 0.013441
1574112033, 64, 53, 1789, 19, -101, -19, 0.013476
1574112033, 63, 72, 1762, 12, -107, -13, 0.013659
1574112033, 91, 59, 1783, -10, -114, -20, 0.013439
1574112033, 98, 66, 1763, 2, -91, 1, 0.013416
1574112033, 128, 100, 1679, 10, -104, -3, 0.013480
1574112033, 132, 92, 1724, -60, -139, -28, 0.013454
1574112033, 117, 112, 1734, -128, -194, -62, 0.013436
1574112033, 83, 79, 1773, -162, -222, -72, 0.013455
1574112033, 102, 90, 1746, -166, -267, -83, 0.013680
1574112033, 84, 86, 1757, -169, -224, -73, 0.013487
1574112033, 83, 41, 1808, -241, -285, -98, 0.013452
1574112033, 22, 59, 1826, -370, -324, -140, 0.013415
1574112033, -31, -15, 2023, -488, -392, -188, 0.013427
1574112033, -117, -110, 2175, -536, -548, -242, 0.013449
1574112033, -133, -123, 2343, -561, -725, -264, 0.013436
1574112033, -122, -136, 2382, -487, -829, -234, 0.013508
1574112033, -123, -163, 2666, -374, -892, -211, 0.013665
1574112033, 1, -139, 2860, -348, -1019, -237, 0.013442
