time, roll, pitch, heading 
1574070989.357582, 55.916981, -24.461056, 0.000000
1574070989.370702, 56.301971, -23.730680, 0.000000
1574070989.383619, 57.696651, -24.002285, 0.000000
1574070989.397826, 58.717190, -23.476820, 0.000000
1574070989.410850, 59.186172, -22.799473, 0.000000
1574070989.428531, 60.248722, -23.421247, 0.000000
1574070989.437624, 60.067238, -24.215836, 0.000000
1574070989.450715, 60.123997, -25.257198, 0.000000
1574070989.463938, 61.163898, -25.937317, 0.000000
1574070989.477113, 62.282284, -26.393026, 0.000000
1574070989.491317, 63.042843, -25.597637, 0.000000
1574070989.505440, 62.724838, -25.535055, 0.000000
1574070989.518557, 62.458462, -26.150166, 0.000000
1574070989.531596, 62.279236, -26.951702, 0.000000
1574070989.545714, 62.726345, -28.114271, 0.000000
1574070989.558722, 64.069405, -28.424757, 0.000000
1574070989.574184, 63.736526, -28.869909, 0.000000
1574070989.587358, 63.432983, -29.124617, 0.000000
1574070989.599055, 63.291626, -29.243113, 0.000000
1574070989.612213, 63.299213, -29.041592, 0.000000
1574070989.625530, 63.244648, -29.048681, 0.000000
1574070989.639665, 64.737823, -29.174324, 0.000000
1574070989.653757, 65.719185, -30.181871, 0.000000
1574070989.666888, 67.226036, -30.076796, 0.000000
1574070989.679959, 68.377541, -29.516106, 0.000000
1574070989.694359, 69.414207, -30.665083, 0.000000
1574070989.707590, 71.030388, -30.952454, 0.000000
1574070989.720782, 71.429764, -30.457634, 0.000000
1574070989.734841, 73.003670, -30.654545, 0.000000
1574070989.747837, 73.212814, -30.630230, 0.000000
1574070989.760784, 74.877357, -31.181999, 0.000000
1574070989.778566, 76.648384, -31.665712, 0.000000
1574070989.788317, 77.636848, -33.125282, 0.000000
1574070989.801469, 79.382416, -34.064064, 0.000000
1574070989.814586, 81.115128, -34.996140, 0.000000
1574070989.828816, 82.642227, -36.026989, 0.000000
1574070989.845052, 83.176285, -37.088379, 0.000000
1574070989.854618, 83.608269, -38.022873, 0.000000
1574070989.867815, 85.265923, -38.321453, 0.000000
1574070989.883152, 85.118454, -38.446255, 0.000000
1574070989.894907, 85.185440, -38.034737, 0.000000
1574070989.909338, 85.602295, -37.404953, 0.000000
1574070989.922161, 85.696754, -38.198643, 0.000000
1574070989.936453, 85.647766, -38.736240, 0.000000
1574070989.949434, 85.530113, -38.956619, 0.000000
1574070989.962308, 87.208923, -38.818012, 0.000000
1574070989.975376, 87.222488, -38.580986, 0.000000
1574070989.989756, 87.269119, -38.531353, 0.000000
1574070990.003945, 88.299889, -37.907143, 0.000000
1574070990.016875, 89.952477, -38.124977, 0.000000
1574070990.029808, 91.549728, -38.184174, 0.000000
1574070990.043920, 91.612633, -38.981148, 0.000000
1574070990.056926, 92.814720, -40.002190, 0.000000
1574070990.071213, 93.112206, -41.108105, 0.000000
1574070990.086717, 93.898109, -42.271038, 0.000000
1574070990.097331, 93.807785, -42.624752, 0.000000
1574070990.110481, 95.382782, -42.568764, 0.000000
1574070990.124656, 95.235153, -42.960461, 0.000000
1574070990.137563, 96.194687, -44.238823, 0.000000
1574070990.150729, 97.939987, -44.756641, 0.000000
1574070990.164789, 99.685493, -45.216293, 0.000000
1574070990.177936, 101.189499, -45.903191, 0.000000
1574070990.192242, 102.758698, -45.989494, 0.000000
1574070990.205535, 103.813675, -45.467258, 0.000000
1574070990.218501, 103.926979, -45.411179, 0.000000
1574070990.231636, 106.011955, -45.387054, 0.000000
1574070990.245722, 106.198479, -45.012039, 0.000000
1574070990.258560, 107.375122, -45.927204, 0.000000
1574070990.272641, 109.336319, -46.285362, 0.000000
1574070990.291558, 109.495354, -45.473694, 0.000000
1574070990.299949, 109.449440, -44.793419, 0.000000
1574070990.312941, 109.278862, -44.314034, 0.000000
1574070990.326081, 109.115662, -44.450283, 0.000000
1574070990.339285, 109.238075, -44.757565, 0.000000
1574070990.353504, 110.974525, -44.231804, 0.000000
1574070990.366772, 113.240570, -44.236179, 0.000000
1574070990.379733, 113.575615, -43.794380, 0.000000
1574070990.394962, 115.688408, -43.798271, 0.000000
1574070990.407976, 115.761505, -43.570538, 0.000000
1574070990.420089, 117.610916, -44.118450, 0.000000
1574070990.434311, 119.012657, -45.005417, 0.000000
1574070990.447067, 120.951653, -44.705471, 0.000000
1574070990.459949, 122.842636, -44.229889, 0.000000
1574070990.474151, 125.014595, -43.898792, 0.000000
1574070990.487328, 125.924950, -44.479191, 0.000000
1574070990.501245, 126.679916, -44.756611, 0.000000
1574070990.515486, 127.447708, -45.001705, 0.000000
1574070990.528346, 128.669556, -45.578831, 0.000000
1574070990.541357, 129.332275, -45.303551, 0.000000
1574070990.554504, 130.960114, -45.883965, 0.000000
1574070990.568975, 133.141083, -45.140049, 0.000000
1574070990.581747, 133.762390, -44.441624, 0.000000
1574070990.600711, 134.117599, -44.135082, 0.000000
1574070990.609012, 134.318283, -43.991356, 0.000000
1574070990.622270, 134.834290, -44.187607, 0.000000
1574070990.636722, 135.701080, -44.455490, 0.000000
1574070990.652070, 137.955521, -43.892738, 0.000000
1574070990.662782, 140.380676, -43.698181, 0.000000
1574070990.676826, 140.504211, -43.491596, 0.000000
1574070990.689841, 140.872986, -42.640343, 0.000000
