time, a_x, a_y, a_z, g_x, g_y, g_z, deltat 
1574070988.861340, 0.258301, 0.386719, 0.625977, 65.490723, -17.089844, 2.929688, 0.013431
1574070988.872103, 0.233398, 0.429688, 0.666992, 60.852051, -10.070801, 0.366211, 0.013648
1574070988.886170, 0.279785, 0.447754, 0.723145, 53.527832, -7.263184, -1.159668, 0.013417
1574070988.899482, 0.282227, 0.419434, 0.716309, 47.058105, -12.634277, -1.403809, 0.013380
1574070988.912596, 0.298340, 0.454102, 0.760742, 48.889160, -21.545410, -0.427246, 0.013381
1574070988.925580, 0.263672, 0.443848, 0.687500, 53.527832, -18.066406, -1.342773, 0.013399
1574070988.939728, 0.258301, 0.481445, 0.750488, 59.875488, -17.089844, -2.014160, 0.013415
1574070988.952963, 0.255859, 0.460449, 0.677734, 60.119629, -20.019531, 0.000000, 0.013424
1574070988.967001, 0.280273, 0.485840, 0.634277, 56.762695, -21.240234, 0.000000, 0.013439
1574070988.980208, 0.273926, 0.502930, 0.627441, 49.804688, -17.150879, 0.732422, 0.013646
1574070988.993359, 0.273926, 0.529785, 0.704590, 48.767090, -10.986328, 4.089355, 0.013382
1574070989.007254, 0.304199, 0.491699, 0.651367, 53.894043, -10.803223, 2.990723, 0.013398
1574070989.020611, 0.336426, 0.545410, 0.716797, 48.706055, -23.803711, 2.380371, 0.013380
1574070989.033609, 0.296875, 0.535156, 0.639160, 41.992188, -34.912109, 5.065918, 0.013397
1574070989.046519, 0.306152, 0.584961, 0.604492, 37.109375, -25.634766, 6.774902, 0.013380
1574070989.063141, 0.348145, 0.531738, 0.666504, 39.855957, -19.836426, 7.568359, 0.013396
1574070989.075969, 0.358398, 0.520996, 0.693359, 46.630859, -18.920898, 2.258301, 0.013444
1574070989.093509, 0.357910, 0.544922, 0.668457, 48.400879, -18.310547, 0.305176, 0.013667
1574070989.101076, 0.385254, 0.577148, 0.618164, 53.283691, -16.906738, 0.732422, 0.013375
1574070989.116650, 0.354004, 0.611816, 0.548340, 52.124023, -7.324219, 0.183105, 0.013382
1574070989.136553, 0.260254, 0.513672, 0.650391, 48.767090, -9.521484, 5.676270, 0.013395
1574070989.141654, 0.355469, 0.622559, 0.655762, 51.513672, -5.981445, -1.281738, 0.013381
1574070989.153637, 0.373047, 0.617188, 0.635742, 51.086426, -20.629883, 0.000000, 0.013434
1574070989.168845, 0.383301, 0.610840, 0.564941, 46.936035, -28.320312, 1.831055, 0.013416
1574070989.180598, 0.377930, 0.607422, 0.572754, 43.762207, -20.324707, -0.427246, 0.013653
1574070989.194595, 0.442871, 0.625000, 0.590820, 50.537109, -16.235352, -1.098633, 0.013393
1574070989.208815, 0.541992, 0.711426, 0.410156, 55.053711, -13.427734, 10.314941, 0.013437
1574070989.221845, -0.516602, -0.171387, 0.666016, 61.096191, 85.083008, 179.931641, 0.013417
1574070989.235393, 0.778809, 1.279297, 0.488281, -29.113770, -8.178711, -46.630859, 0.013405
1574070989.276068, -0.085938, 0.130371, 0.348145, 18.615723, -11.352539, 16.052246, 0.013383
1574070989.279804, 0.407715, 0.757324, 0.602539, 54.687500, 2.929688, -5.187988, 0.013399
1574070989.289028, 0.362305, 0.647949, 0.575195, 48.645020, -17.456055, -5.737305, 0.013169
1574070989.301954, 0.380859, 0.651367, 0.547852, 39.489746, -16.357422, -6.591797, 0.013619
1574070989.315174, 0.344238, 0.634766, 0.507324, 46.203613, -19.348145, -4.882812, 0.013388
1574070989.329463, 0.354004, 0.686523, 0.443848, 47.424316, -18.127441, -5.554199, 0.013398
1574070989.342355, 0.367676, 0.642578, 0.467285, 46.264648, -20.019531, -5.981445, 0.013376
1574070989.355441, 0.380371, 0.692383, 0.475098, 40.039062, -20.141602, -7.080078, 0.013396
1574070989.368769, 0.342285, 0.687988, 0.475098, 34.912109, -21.972656, -5.126953, 0.013418
1574070989.382771, 0.377441, 0.737305, 0.403809, 35.217285, -29.113770, -1.708984, 0.013437
1574070989.395957, 0.378418, 0.749023, 0.465332, 27.587891, -35.705566, 2.929688, 0.013611
1574070989.410107, 0.361328, 0.713867, 0.433594, 18.493652, -27.893066, 4.272461, 0.013414
1574070989.427658, 0.383301, 0.733398, 0.386719, 25.817871, -20.202637, 4.760742, 0.013393
1574070989.436205, 0.409180, 0.742676, 0.455566, 26.000977, -20.568848, 2.807617, 0.013401
1574070989.449897, 0.435547, 0.733887, 0.444336, 26.062012, -20.568848, 4.882812, 0.013380
1574070989.463051, 0.450195, 0.751953, 0.377930, 28.320312, -17.211914, 2.868652, 0.013399
1574070989.476216, 0.421387, 0.747559, 0.393066, 29.113770, -10.375977, 2.868652, 0.013452
1574070989.490643, 0.403809, 0.750977, 0.389648, 29.479980, -11.291504, 3.112793, 0.013636
1574070989.504571, 0.428711, 0.801270, 0.434570, 27.404785, -10.681152, 5.493164, 0.013419
1574070989.517780, 0.446777, 0.774902, 0.435059, 28.930664, -16.845703, 7.446289, 0.013393
1574070989.529633, 0.446777, 0.702637, 0.412598, 28.991699, -17.700195, 7.446289, 0.013404
1574070989.543799, 0.473633, 0.730957, 0.391113, 32.287598, -27.770996, 6.286621, 0.013383
1574070989.556787, 0.435059, 0.740723, 0.313477, 28.320312, -31.188965, 5.249023, 0.013402
1574070989.572286, 0.465820, 0.755859, 0.386230, 23.986816, -23.376465, 5.981445, 0.013408
1574070989.585258, 0.451172, 0.690918, 0.416992, 27.709961, -20.080566, 5.371094, 0.013441
1574070989.598414, 0.441406, 0.692383, 0.404297, 37.780762, -21.606445, 3.051758, 0.013617
1574070989.611297, 0.447754, 0.714844, 0.360352, 40.283203, -23.315430, 2.380371, 0.013418
1574070989.624602, 0.464844, 0.752441, 0.425293, 36.071777, -31.616211, 1.159668, 0.013380
1574070989.638899, 0.445801, 0.770996, 0.295898, 32.043457, -32.226562, 1.342773, 0.013862
1574070989.651922, 0.471680, 0.743164, 0.346680, 38.024902, -29.052734, 3.173828, 0.013404
1574070989.665979, 0.471191, 0.765625, 0.321289, 36.804199, -33.508301, 2.380371, 0.013438
1574070989.679164, 0.476074, 0.793945, 0.324219, 34.667969, -36.560059, 6.469727, 0.013470
1574070989.693620, 0.515137, 0.789551, 0.304199, 36.315918, -41.809082, 7.751465, 0.013628
1574070989.705515, 0.484863, 0.770996, 0.258301, 43.457031, -35.461426, 5.676270, 0.013443
1574070989.720111, 0.504395, 0.812988, 0.285156, 41.076660, -37.841797, 4.577637, 0.013414
1574070989.733002, 0.498047, 0.810547, 0.257324, 36.743164, -42.480469, 8.605957, 0.013418
1574070989.745784, 0.504395, 0.835449, 0.276367, 37.170410, -52.856445, 14.221191, 0.013408
1574070989.760020, 0.498535, 0.805176, 0.167969, 38.208008, -54.748535, 19.409180, 0.013421
1574070989.777767, 0.516113, 0.850586, 0.120605, 44.616699, -53.894043, 24.047852, 0.013433
1574070989.787294, 0.569824, 0.825684, 0.196289, 46.386719, -50.842285, 28.930664, 0.013462
1574070989.799548, 0.542480, 0.757324, 0.114746, 48.278809, -49.194336, 28.747559, 0.013657
1574070989.812587, 0.597656, 0.784180, 0.082031, 52.734375, -43.334961, 27.465820, 0.013428
1574070989.826743, 0.611816, 0.701660, 0.048340, 51.757812, -35.400391, 20.446777, 0.013411
1574070989.844334, 0.641113, 0.684082, 0.127441, 43.334961, -33.630371, 12.512207, 0.013405
1574070989.853834, 0.589355, 0.687988, 0.103516, 36.865234, -35.461426, 4.577637, 0.013450
1574070989.866933, 0.604492, 0.755859, 0.052734, 32.714844, -39.062500, 4.089355, 0.013436
1574070989.881186, 0.582031, 0.726074, 0.117676, 22.827148, -35.949707, 4.638672, 0.013454
1574070989.894260, 0.540039, 0.731934, 0.099121, 23.193359, -40.649414, 4.455566, 0.013440
1574070989.908413, 0.523926, 0.731934, 0.078613, 24.353027, -48.339844, 8.605957, 0.013691
1574070989.921556, 0.562988, 0.722168, 0.061035, 20.263672, -43.945312, 8.483887, 0.013412
1574070989.934515, 0.593262, 0.730469, 0.074219, 19.714355, -43.640137, 7.690430, 0.013415
1574070989.947468, 0.592285, 0.715332, 0.157715, 18.798828, -42.968750, 9.277344, 0.013414
1574070989.961572, 0.531250, 0.753906, -0.050293, 25.207520, -49.377441, 12.084961, 0.013421
1574070989.974657, 0.598633, 0.783691, 0.070801, 19.714355, -44.128418, 14.160156, 0.013424
1574070989.987658, 0.588379, 0.757812, 0.061523, 18.371582, -54.321289, 19.042969, 0.013442
1574070990.002081, 0.580078, 0.767578, 0.032715, 21.911621, -52.001953, 20.507812, 0.013698
1574070990.015156, 0.599609, 0.779785, -0.018066, 24.536133, -47.363281, 22.583008, 0.013414
1574070990.028911, 0.579102, 0.769531, -0.063477, 30.578613, -34.484863, 20.141602, 0.013414
1574070990.041928, 0.617676, 0.743652, 0.007324, 25.939941, -36.987305, 22.033691, 0.013414
1574070990.055115, 0.659180, 0.722656, -0.051270, 19.775391, -35.888672, 21.850586, 0.013421
1574070990.070281, 0.674805, 0.753418, -0.027344, 16.479492, -34.423828, 21.057129, 0.013409
1574070990.085988, 0.684082, 0.736816, -0.042969, 14.892578, -37.353516, 19.958496, 0.013442
